{'outOfRailTime': 0.9860087130960132, 'outOfRailVelocity': 24.130979472318334, 'apogeeTime': 13.954804850679663, 'apogeeAltitude': 829.4097817112024, 'apogeeX': 96.24210853713737, 'apogeeY': 79.2790999024582, 'impactTime': 56.07047528948408, 'impactX': 313.6121387104566, 'impactY': 27.930060525888848, 'impactVelocity': -20.848143191130127, 'initialStaticMargin': 1.9716975290318104, 'outOfRailStaticMargin': 2.1518519864871473, 'finalStaticMargin': 2.9591357533675056, 'numberOfEvents': 1, 'maxVelocity': 124.96909291200113, 'drogueTriggerTime': 12.942857142857145, 'drogueInflatedTime': 14.849413100960444, 'drogueInflatedVelocity': 12.447735695756379}
{'outOfRailTime': 0.9453408738182429, 'outOfRailVelocity': 24.781174419909643, 'apogeeTime': 13.85807934894197, 'apogeeAltitude': 818.4800993433416, 'apogeeX': 101.35660816214656, 'apogeeY': 83.45960493088414, 'impactTime': 60.75319126758278, 'impactX': 340.0434974860761, 'impactY': 16.585054652108887, 'impactVelocity': -18.52924060132483, 'initialStaticMargin': 2.3484080338622335, 'outOfRailStaticMargin': 2.5439337116006264, 'finalStaticMargin': 3.384177421700605, 'numberOfEvents': 1, 'maxVelocity': 123.55732231604401, 'drogueTriggerTime': 12.81904761904762, 'drogueInflatedTime': 14.145620689319731, 'drogueInflatedVelocity': 10.055200062873924}
{'outOfRailTime': 1.1927175357721485, 'outOfRailVelocity': 21.04087567642487, 'apogeeTime': 14.083520396338, 'apogeeAltitude': 795.3316148728843, 'apogeeX': 142.29472716795175, 'apogeeY': 135.87129234459442, 'impactTime': 57.46229779722117, 'impactX': 382.7687523059346, 'impactY': 104.19466068167583, 'impactVelocity': -18.9022699954322, 'initialStaticMargin': 1.7496501567744664, 'outOfRailStaticMargin': 1.9131631154834143, 'finalStaticMargin': 2.7109592464215697, 'numberOfEvents': 1, 'maxVelocity': 119.59516874919483, 'drogueTriggerTime': 13.009523809523811, 'drogueInflatedTime': 15.647439593862874, 'drogueInflatedVelocity': 20.399909770977533}
{'outOfRailTime': 1.001731118837483, 'outOfRailVelocity': 23.72301897872223, 'apogeeTime': 13.892528558154954, 'apogeeAltitude': 811.9881959809684, 'apogeeX': 76.90813820645995, 'apogeeY': 74.74596191264276, 'impactTime': 63.29162661749111, 'impactX': 310.4979262713653, 'impactY': -8.875962271069792, 'impactVelocity': -16.95155277488002, 'initialStaticMargin': 2.006945092834302, 'outOfRailStaticMargin': 2.2038808712737348, 'finalStaticMargin': 3.0800868061227793, 'numberOfEvents': 1, 'maxVelocity': 122.08876597075827, 'drogueTriggerTime': 12.885714285714286, 'drogueInflatedTime': 14.75035305813279, 'drogueInflatedVelocity': 11.3887207068078}
{'outOfRailTime': 0.9415883540347102, 'outOfRailVelocity': 25.38355447143014, 'apogeeTime': 14.74065033195201, 'apogeeAltitude': 951.7052990518525, 'apogeeX': 122.87286457734544, 'apogeeY': 107.71921551001671, 'impactTime': 66.5310078171999, 'impactX': 396.6715586716883, 'impactY': 27.80044304338787, 'impactVelocity': -18.643836352784998, 'initialStaticMargin': 1.9609910180200816, 'outOfRailStaticMargin': 2.1259386602527877, 'finalStaticMargin': 2.90311543937847, 'numberOfEvents': 1, 'maxVelocity': 136.7183528378283, 'drogueTriggerTime': 13.771428571428572, 'drogueInflatedTime': 16.347501233952194, 'drogueInflatedVelocity': 18.550706937876832}
{'outOfRailTime': 1.1594350542067342, 'outOfRailVelocity': 21.639037017002707, 'apogeeTime': 14.572890231990087, 'apogeeAltitude': 866.578795990948, 'apogeeX': 99.96606511448402, 'apogeeY': 94.22536102454013, 'impactTime': 61.95583601601669, 'impactX': 339.45910580267895, 'impactY': 26.37707838875729, 'impactVelocity': -18.715323803045074, 'initialStaticMargin': 1.9757672033267817, 'outOfRailStaticMargin': 2.1470325770144174, 'finalStaticMargin': 3.010611173236436, 'numberOfEvents': 1, 'maxVelocity': 125.55235451675726, 'drogueTriggerTime': 13.571428571428573, 'drogueInflatedTime': 16.03202015392922, 'drogueInflatedVelocity': 16.784301646143536}
{'outOfRailTime': 1.1272320851028357, 'outOfRailVelocity': 22.06284253855751, 'apogeeTime': 14.504714104691663, 'apogeeAltitude': 866.4936545774981, 'apogeeX': 75.1845992548777, 'apogeeY': 89.03616798145443, 'impactTime': 61.56183481740482, 'impactX': 300.2900805448865, 'impactY': 18.892174486828488, 'impactVelocity': -18.584418378901645, 'initialStaticMargin': 1.994675115937311, 'outOfRailStaticMargin': 2.166542806633051, 'finalStaticMargin': 3.016402276048787, 'numberOfEvents': 1, 'maxVelocity': 125.6882435154101, 'drogueTriggerTime': 13.62857142857143, 'drogueInflatedTime': 16.433950391568914, 'drogueInflatedVelocity': 19.702942163699472}
{'outOfRailTime': 1.0064829402353268, 'outOfRailVelocity': 23.75377092414158, 'apogeeTime': 14.293990029955028, 'apogeeAltitude': 857.787593590662, 'apogeeX': 94.02643985720277, 'apogeeY': 84.54317280553317, 'impactTime': 60.32579446191341, 'impactX': 329.77440496374163, 'impactY': 25.205256717346373, 'impactVelocity': -20.160491257881738, 'initialStaticMargin': 2.4974370206682344, 'outOfRailStaticMargin': 2.693853110310189, 'finalStaticMargin': 3.586654575502034, 'numberOfEvents': 1, 'maxVelocity': 124.95298097677221, 'drogueTriggerTime': 13.238095238095239, 'drogueInflatedTime': 14.28585856952534, 'drogueInflatedVelocity': 9.115541554994314}
{'outOfRailTime': 1.1032722494571885, 'outOfRailVelocity': 22.342485249565758, 'apogeeTime': 14.266933568561855, 'apogeeAltitude': 838.1144483668588, 'apogeeX': 80.9324278736699, 'apogeeY': 86.33294359677005, 'impactTime': 59.96654040386891, 'impactX': 306.50261728814223, 'impactY': 27.3345041872601, 'impactVelocity': -19.831696646682904, 'initialStaticMargin': 1.619013087555812, 'outOfRailStaticMargin': 1.8006082726193169, 'finalStaticMargin': 2.6877120699330743, 'numberOfEvents': 1, 'maxVelocity': 124.63429969052845, 'drogueTriggerTime': 13.4, 'drogueInflatedTime': 14.174303243091781, 'drogueInflatedVelocity': 8.500798535065423}
{'outOfRailTime': 1.2893791798213596, 'outOfRailVelocity': 20.186046499993036, 'apogeeTime': 15.099206936769617, 'apogeeAltitude': 903.1915777196539, 'apogeeX': 125.85286070760947, 'apogeeY': 129.5849087631602, 'impactTime': 66.64219391285744, 'impactX': 397.14906778440894, 'impactY': 61.59790150642073, 'impactVelocity': -18.028047088510636, 'initialStaticMargin': 2.1800325505279146, 'outOfRailStaticMargin': 2.342494260103662, 'finalStaticMargin': 3.2182140819932363, 'numberOfEvents': 1, 'maxVelocity': 126.30247684665859, 'drogueTriggerTime': 14.190476190476192, 'drogueInflatedTime': 16.19231072329818, 'drogueInflatedVelocity': 16.125820007338028}
{'outOfRailTime': 1.4215200033093807, 'outOfRailVelocity': 18.601744773220908, 'apogeeTime': 14.560869736488774, 'apogeeAltitude': 794.9329833771967, 'apogeeX': 99.32730807574863, 'apogeeY': 113.67237021076542, 'impactTime': 58.496190941606116, 'impactX': 320.34485745348644, 'impactY': 70.40924992056668, 'impactVelocity': -18.74898451380556, 'initialStaticMargin': 2.2745130936743716, 'outOfRailStaticMargin': 2.4400717246894974, 'finalStaticMargin': 3.2988568569273378, 'numberOfEvents': 1, 'maxVelocity': 114.70789337061515, 'drogueTriggerTime': 13.523809523809526, 'drogueInflatedTime': 15.836202075657107, 'drogueInflatedVelocity': 16.339267173106983}
{'outOfRailTime': 1.2444476689679353, 'outOfRailVelocity': 20.16904764091465, 'apogeeTime': 13.610487607974221, 'apogeeAltitude': 724.3969693408906, 'apogeeX': 65.3593877330059, 'apogeeY': 67.99590636357085, 'impactTime': 51.71058613716497, 'impactX': 243.06075320423568, 'impactY': 27.465691082263323, 'impactVelocity': -20.520749379650407, 'initialStaticMargin': 1.3042463907956816, 'outOfRailStaticMargin': 1.4940663974641006, 'finalStaticMargin': 2.401745964370761, 'numberOfEvents': 1, 'maxVelocity': 111.88268411990497, 'drogueTriggerTime': 12.580952380952382, 'drogueInflatedTime': 14.218893923139238, 'drogueInflatedVelocity': 9.370975680758079}
{'outOfRailTime': 1.102290359665537, 'outOfRailVelocity': 22.4078287359278, 'apogeeTime': 14.746976016710107, 'apogeeAltitude': 896.9403461759057, 'apogeeX': 127.0292719146995, 'apogeeY': 122.43578674695773, 'impactTime': 69.6073932860334, 'impactX': 409.73786490455177, 'impactY': 37.81772500076242, 'impactVelocity': -16.51047512367286, 'initialStaticMargin': 2.7062989295242446, 'outOfRailStaticMargin': 2.905714510156908, 'finalStaticMargin': 3.891955105484297, 'numberOfEvents': 1, 'maxVelocity': 127.26285132617183, 'drogueTriggerTime': 13.81904761904762, 'drogueInflatedTime': 16.23930237209575, 'drogueInflatedVelocity': 18.603461634150612}
{'outOfRailTime': 0.9965141683053561, 'outOfRailVelocity': 24.107016377651043, 'apogeeTime': 14.382669973140196, 'apogeeAltitude': 883.712639968646, 'apogeeX': 76.57667063362499, 'apogeeY': 72.4026755147923, 'impactTime': 61.39819656306549, 'impactX': 307.508111280696, 'impactY': 1.5603144185091928, 'impactVelocity': -20.08958450587556, 'initialStaticMargin': 2.2977159493610104, 'outOfRailStaticMargin': 2.48957265931303, 'finalStaticMargin': 3.3878874606260543, 'numberOfEvents': 1, 'maxVelocity': 129.05925897123674, 'drogueTriggerTime': 13.295238095238096, 'drogueInflatedTime': 14.598031005270077, 'drogueInflatedVelocity': 7.758677887403379}
{'outOfRailTime': 0.8570351250816023, 'outOfRailVelocity': 26.789002644944393, 'apogeeTime': 13.871339093131986, 'apogeeAltitude': 849.27713965937, 'apogeeX': 125.37091827435496, 'apogeeY': 103.81363980780324, 'impactTime': 55.62108975440187, 'impactX': 357.8017993551213, 'impactY': 65.3795448347107, 'impactVelocity': -21.314854994215562, 'initialStaticMargin': 1.6036577434176225, 'outOfRailStaticMargin': 1.8007301143125771, 'finalStaticMargin': 2.6284300216127665, 'numberOfEvents': 1, 'maxVelocity': 129.34342606755226, 'drogueTriggerTime': 12.971428571428573, 'drogueInflatedTime': 15.21144876157333, 'drogueInflatedVelocity': 17.060927016347964}
{'outOfRailTime': 1.324555829130567, 'outOfRailVelocity': 19.453584206436076, 'apogeeTime': 14.299776747015757, 'apogeeAltitude': 783.5675089543493, 'apogeeX': 99.05151319566951, 'apogeeY': 106.75230996730271, 'impactTime': 57.567065764809584, 'impactX': 316.14225435604106, 'impactY': 62.43551857393047, 'impactVelocity': -18.655535371500857, 'initialStaticMargin': 2.464058546022425, 'outOfRailStaticMargin': 2.6444024214022726, 'finalStaticMargin': 3.5455745253768294, 'numberOfEvents': 1, 'maxVelocity': 114.7024001426247, 'drogueTriggerTime': 13.314285714285715, 'drogueInflatedTime': 15.765813944093336, 'drogueInflatedVelocity': 17.49321920676526}
{'outOfRailTime': 1.1469130688607088, 'outOfRailVelocity': 21.79597590574042, 'apogeeTime': 14.649059221078735, 'apogeeAltitude': 877.5459615740276, 'apogeeX': 97.22173013337881, 'apogeeY': 110.2570897594124, 'impactTime': 71.35971489525116, 'impactX': 376.0825636405988, 'impactY': 14.233604987014257, 'impactVelocity': -16.07855006245307, 'initialStaticMargin': 2.423955748976589, 'outOfRailStaticMargin': 2.591272662413026, 'finalStaticMargin': 3.4232002268258426, 'numberOfEvents': 1, 'maxVelocity': 125.70264309260921, 'drogueTriggerTime': 13.714285714285715, 'drogueInflatedTime': 14.895928587315515, 'drogueInflatedVelocity': 10.587345825371589}
{'outOfRailTime': 1.0778487455061785, 'outOfRailVelocity': 22.898298719331173, 'apogeeTime': 14.645850108764765, 'apogeeAltitude': 901.5916620327869, 'apogeeX': 125.4042815265477, 'apogeeY': 106.95350302927002, 'impactTime': 64.66601123129752, 'impactX': 391.0742267056926, 'impactY': 34.791214105992, 'impactVelocity': -18.593837370624147, 'initialStaticMargin': 1.8669339006033059, 'outOfRailStaticMargin': 2.0284398327032385, 'finalStaticMargin': 2.825352005830084, 'numberOfEvents': 1, 'maxVelocity': 129.9947862777156, 'drogueTriggerTime': 13.733333333333334, 'drogueInflatedTime': 15.719253248842616, 'drogueInflatedVelocity': 15.210779945252725}
{'outOfRailTime': 1.0902744644843017, 'outOfRailVelocity': 22.71188608765494, 'apogeeTime': 14.556922884432066, 'apogeeAltitude': 888.2818717983009, 'apogeeX': 144.1286604443607, 'apogeeY': 121.68752480188823, 'impactTime': 62.56472858693063, 'impactX': 413.91896993261975, 'impactY': 67.23883625208461, 'impactVelocity': -19.705432016607734, 'initialStaticMargin': 1.5543147765867242, 'outOfRailStaticMargin': 1.721409248555522, 'finalStaticMargin': 2.5569779971559154, 'numberOfEvents': 1, 'maxVelocity': 129.6742930312434, 'drogueTriggerTime': 13.600000000000001, 'drogueInflatedTime': 14.88877725921567, 'drogueInflatedVelocity': 13.458285487638934}
{'outOfRailTime': 1.0534759930862068, 'outOfRailVelocity': 23.015280287951555, 'apogeeTime': 14.151320659420186, 'apogeeAltitude': 837.4198538754572, 'apogeeX': 97.23788030574367, 'apogeeY': 89.23419912700301, 'impactTime': 62.103687165816176, 'impactX': 337.20734449616987, 'impactY': 17.648437105128895, 'impactVelocity': -18.152992568711515, 'initialStaticMargin': 1.4413358243997147, 'outOfRailStaticMargin': 1.6148434022928069, 'finalStaticMargin': 2.423841827550699, 'numberOfEvents': 1, 'maxVelocity': 124.07034938742109, 'drogueTriggerTime': 13.20952380952381, 'drogueInflatedTime': 14.97815778021798, 'drogueInflatedVelocity': 12.31291794320709}
{'outOfRailTime': 1.0594656792137647, 'outOfRailVelocity': 22.993713923826757, 'apogeeTime': 14.211615512047462, 'apogeeAltitude': 845.8463879380897, 'apogeeX': 125.02813062846292, 'apogeeY': 125.6447022058208, 'impactTime': 64.21951376442887, 'impactX': 385.22772858037104, 'impactY': 60.69046817557594, 'impactVelocity': -17.39379569347987, 'initialStaticMargin': 1.8827653934594504, 'outOfRailStaticMargin': 2.067886979751722, 'finalStaticMargin': 2.953823959326237, 'numberOfEvents': 1, 'maxVelocity': 125.87080758138575, 'drogueTriggerTime': 13.20952380952381, 'drogueInflatedTime': 15.326358881706817, 'drogueInflatedVelocity': 16.33912674511829}
{'outOfRailTime': 1.3615798620372335, 'outOfRailVelocity': 19.18995477584762, 'apogeeTime': 14.46655041982561, 'apogeeAltitude': 801.304558358335, 'apogeeX': 133.26783339728098, 'apogeeY': 131.43731228122456, 'impactTime': 63.5135220493054, 'impactX': 391.10707533632535, 'impactY': 73.02098144776673, 'impactVelocity': -17.15793328148962, 'initialStaticMargin': 1.7117839075893977, 'outOfRailStaticMargin': 1.874045741537295, 'finalStaticMargin': 2.7153649616852995, 'numberOfEvents': 1, 'maxVelocity': 117.05224083770517, 'drogueTriggerTime': 13.514285714285716, 'drogueInflatedTime': 14.940425507137526, 'drogueInflatedVelocity': 14.396383623565768}
{'outOfRailTime': 0.9064975419927312, 'outOfRailVelocity': 25.74902048338864, 'apogeeTime': 14.081805651588851, 'apogeeAltitude': 863.4142847632668, 'apogeeX': 173.74999156707008, 'apogeeY': 139.83363688071924, 'impactTime': 66.38607459988003, 'impactX': 466.577855818125, 'impactY': 70.29360888583419, 'impactVelocity': -17.268910081760016, 'initialStaticMargin': 1.7847601381235223, 'outOfRailStaticMargin': 1.990141482541947, 'finalStaticMargin': 2.900470652506911, 'numberOfEvents': 1, 'maxVelocity': 129.97303019032893, 'drogueTriggerTime': 13.076190476190478, 'drogueInflatedTime': 14.550739556535888, 'drogueInflatedVelocity': 16.322886021532366}
{'outOfRailTime': 1.179379175998941, 'outOfRailVelocity': 21.316204415897193, 'apogeeTime': 14.357067642441685, 'apogeeAltitude': 837.9175369068994, 'apogeeX': 106.32923462174179, 'apogeeY': 94.37918819732081, 'impactTime': 54.591052349137854, 'impactX': 324.97287858472475, 'impactY': 63.07927604638461, 'impactVelocity': -22.61614467136587, 'initialStaticMargin': 1.545411126687379, 'outOfRailStaticMargin': 1.7231681592026635, 'finalStaticMargin': 2.6224910859638055, 'numberOfEvents': 1, 'maxVelocity': 123.46036014355668, 'drogueTriggerTime': 13.504761904761907, 'drogueInflatedTime': 14.952570278944659, 'drogueInflatedVelocity': 11.676733393770908}
{'outOfRailTime': 0.9256514922608597, 'outOfRailVelocity': 25.303610748467356, 'apogeeTime': 13.950277639266739, 'apogeeAltitude': 841.9371174049584, 'apogeeX': 145.99237350383922, 'apogeeY': 116.04627587752282, 'impactTime': 66.023892782788, 'impactX': 424.0124688787568, 'impactY': 38.582062143571925, 'impactVelocity': -16.807162528017443, 'initialStaticMargin': 1.8350256783879795, 'outOfRailStaticMargin': 2.0257543385063213, 'finalStaticMargin': 2.8630911491525937, 'numberOfEvents': 1, 'maxVelocity': 127.55489795239056, 'drogueTriggerTime': 12.942857142857145, 'drogueInflatedTime': 14.527771443238942, 'drogueInflatedVelocity': 14.40381480319628}
{'outOfRailTime': 1.224744099747372, 'outOfRailVelocity': 20.78470581220527, 'apogeeTime': 14.833226292999829, 'apogeeAltitude': 882.7503083625343, 'apogeeX': 53.6164759796929, 'apogeeY': 76.28403633356137, 'impactTime': 63.923035623742734, 'impactX': 278.8978967938725, 'impactY': -6.551516454266507, 'impactVelocity': -18.34856877470243, 'initialStaticMargin': 2.3151532947801456, 'outOfRailStaticMargin': 2.500493131601342, 'finalStaticMargin': 3.454205940310514, 'numberOfEvents': 1, 'maxVelocity': 123.9780848396288, 'drogueTriggerTime': 13.838095238095239, 'drogueInflatedTime': 16.2347565613822, 'drogueInflatedVelocity': 14.798397700134943}
{'outOfRailTime': 1.0373173812134702, 'outOfRailVelocity': 22.959749632749524, 'apogeeTime': 13.545800592171851, 'apogeeAltitude': 754.9817436546841, 'apogeeX': 86.96695595776903, 'apogeeY': 80.75499209496574, 'impactTime': 52.315152448913494, 'impactX': 280.6584198006449, 'impactY': 42.63865645737243, 'impactVelocity': -20.57401873192367, 'initialStaticMargin': 2.067582202511628, 'outOfRailStaticMargin': 2.261763336702292, 'finalStaticMargin': 3.102368540777597, 'numberOfEvents': 1, 'maxVelocity': 116.14633325017232, 'drogueTriggerTime': 12.61904761904762, 'drogueInflatedTime': 14.687430590386183, 'drogueInflatedVelocity': 14.095314539960276}
{'outOfRailTime': 1.208847887939424, 'outOfRailVelocity': 20.926274290444603, 'apogeeTime': 14.687520031893953, 'apogeeAltitude': 861.9924547819589, 'apogeeX': 71.2195095284646, 'apogeeY': 93.51464862352051, 'impactTime': 61.66846328150385, 'impactX': 294.93389798322477, 'impactY': 28.634479800067083, 'impactVelocity': -18.919620260998588, 'initialStaticMargin': 2.9324565699432985, 'outOfRailStaticMargin': 3.1167137391969097, 'finalStaticMargin': 4.044645846526311, 'numberOfEvents': 1, 'maxVelocity': 122.56813060331831, 'drogueTriggerTime': 13.63809523809524, 'drogueInflatedTime': 15.922933756266767, 'drogueInflatedVelocity': 14.36934472868456}
{'outOfRailTime': 0.8774968834044481, 'outOfRailVelocity': 26.393574729209867, 'apogeeTime': 14.039195833401958, 'apogeeAltitude': 867.9033974963754, 'apogeeX': 89.15367343441476, 'apogeeY': 85.66607651935591, 'impactTime': 62.038530741298956, 'impactX': 328.06918166812426, 'impactY': 12.819270163687685, 'impactVelocity': -18.84816451650847, 'initialStaticMargin': 1.4821334959351058, 'outOfRailStaticMargin': 1.6743640854302477, 'finalStaticMargin': 2.503471683576677, 'numberOfEvents': 1, 'maxVelocity': 130.38159396216267, 'drogueTriggerTime': 12.942857142857145, 'drogueInflatedTime': 14.831587839635116, 'drogueInflatedVelocity': 11.557088047039477}
{'outOfRailTime': 0.8377823426902327, 'outOfRailVelocity': 27.109192310313883, 'apogeeTime': 13.697825142589888, 'apogeeAltitude': 827.1145493683575, 'apogeeX': 125.41207412942005, 'apogeeY': 85.2542432767012, 'impactTime': 70.39097878517165, 'impactX': 411.652822416134, 'impactY': -20.513327259138798, 'impactVelocity': -15.177318714911816, 'initialStaticMargin': 1.9183811609529087, 'outOfRailStaticMargin': 2.1295726648210187, 'finalStaticMargin': 2.9842505542329913, 'numberOfEvents': 1, 'maxVelocity': 126.82863419903079, 'drogueTriggerTime': 12.695238095238096, 'drogueInflatedTime': 13.800425305512908, 'drogueInflatedVelocity': 11.144815069597023}
